ye,ma,co,zcode,brd,type,brand,model,org,loc,cla,home,frm,qu,cy,hp,we,pl,do,le,wi,he,li1,li2,li3,li,sp,ac,pr,princ,eurpr,exppr,avexr,avdexr,avcpr,avppr,avdcpr,avdppr,xexr,tax,pop,ngdp,rgdp,engdp,ergdp,engdpc,ergdpc
93,1,3,1,1,alfa 164,alfa romeo,164,3,5,5,0,4,459,1995,106,1380,5,4,455.5,176,139,6.5,8.300000191,9.699999809,8.166666985,210,9.899999619,989000,1.346232295,20351.94531,440.2911987,2246.240723,48.59486389,116.7166672,109.2585068,108.6278229,94.70903015,0.021633863,0.194999993,10080000,7.4052E+12,6.6597E+12,1.52386E+11,1.37045E+11,15117.70508,13595.76953
94,1,3,1,1,alfa 164,alfa romeo,164,3,5,5,0,4,362,1995,106,1380,5,4,455.5,176,139,6.5,8.300000191,9.699999809,8.166666985,210,9.899999619,998000,1.296170592,21077.73242,432.2020874,2309.10498,47.34854507,121.4416656,113.3122787,111.2107697,96.22259521,0.020505151,0.204999998,10090000,7.7689E+12,6.831E+12,1.64079E+11,1.44271E+11,16261.54199,14298.36914
95,1,3,1,1,alfa 164,alfa romeo,164,3,5,5,0,4,129,1995,106,1380,5,4,455.5,176,139,6.5,8.300000191,9.699999809,8.166666985,210,9.899999619,999000,1.255544662,22634.27344,398.6065063,2506.230957,44.13660431,127.7666702,122.2244873,112.8420258,99.30760193,0.017610749,0.204999998,10140000,8.0681E+12,6.9907E+12,1.82798E+11,1.58388E+11,18027.45508,15620.09961
96,1,3,1,1,alfa 164,alfa romeo,164,3,5,5,0,4,79,1995,106,1380,5,4,466.5,176,139,6.5,8.300000191,9.699999809,8.166666985,210,9.899999619,1009000,1.234354734,22323.50977,453.2268372,2226.258301,45.19898605,132.8326416,124.5365677,115.1653595,101.3174133,0.02030267,0.209999993,10160000,8.3051E+12,7.0809E+12,1.83745E+11,1.56661E+11,18085.16406,15419.34961
97,1,3,1,1,alfa 164,alfa romeo,164,3,5,5,0,4,65,1995,106,1380,5,4,467,176,139,6.5,8.300000191,9.699999809,8.166666985,210,9.899999619,1015000,1.192190647,20524.28906,431.0380554,2354.780518,49.45360184,135.5465393,126.1458588,117.0396271,105.1385269,0.021001363,0.209999993,10190000,8.6755E+12,7.33425E+12,1.75427E+11,1.48306E+11,17215.60938,14554.04102
85,1,6,3,1,alfa 90,alfa romeo,90,3,5,4,0,1,421,1962,94,1080,5,4,439,164,142,6.5,8.800000191,12.19999981,9.166666985,190,,592375,1.208178401,10052.56543,309.1691284,1916.022461,58.927742,75.8916626,84.8950882,90.0884552,110.8499451,0.030755246,0.25,9860000,4.8344E+12,5.6448E+12,82039455744,95791898624,8320.431641,9715.203125
86,1,6,3,1,alfa 90,alfa romeo,90,3,5,4,0,1,270,1962,94,1080,5,4,439,164,142,6.5,8.800000191,12.19999981,9.166666985,190,,655000,1.270093799,12639.78223,377.8946838,1733.287109,51.82051468,80.30833435,85.04786682,91.2555542,98.11595154,0.029897248,0.25,9860000,5.0849E+12,5.729E+12,98125234176,1.10555E+11,9951.849609,11212.44141
87,1,6,3,1,alfa 90,alfa romeo,90,3,5,4,0,4,159,2492,115,1080,5,4,439,164,142,7,9.100000381,13,9.699999809,200,8.399999619,779000,1.445603251,16190.16699,464.6917114,1676.380249,48.11562347,84.1166687,87.59421539,92.67410278,93.2513504,0.028702093,0.25,9870000,5.3187E+12,5.8643E+12,1.1054E+11,1.21879E+11,11199.59277,12348.46387
73,1,7,3,1,alfetta (GTV),alfa romeo,GTV,3,5,4,0,1,414,1749,89.5,1060,5,4,428,162,143,11.5,11.5,11.5,11.5,180,,222375,1.215245724,4777.118164,315.2987671,705.2834473,46.55003357,13.09166718,,37.07738876,,0.066001877,0.25,9740000,1.7823E+12,4.56013E+12,38287835136,97961934848,3930.989258,10057.69336
74,1,7,3,1,alfetta (GTV),alfa romeo,GTV,3,5,4,0,1,371,1749,90,1060,5,4,428,162,143,11.5,11.5,11.5,11.5,180,,239875,1.120846868,5224.856445,308.4140625,777.7693481,45.9103508,15.59166718,,41.77801514,,0.059028234,0.25,9770000,2.0909E+12,4.75429E+12,45543104512,1.03556E+11,4661.525391,10599.39063
75,1,7,3,1,alfetta (GTV),alfa romeo,GTV,3,5,4,0,1,1116,1749,90,1040,5,4,424,166.5,133,9.199999809,9.199999809,9.199999809,9.199999809,175,,242500,1.02636075,5399.023438,306.1575623,792.0758057,44.91553116,18.22500038,,47.11231995,,0.056706101,0.25,9790000,2.3131E+12,4.68231E+12,51498889216,1.04247E+11,5260.356445,10648.32422
76,1,7,3,1,alfetta (GTV),alfa romeo,GTV,3,5,4,0,1,1296,1749,90,1040,5,4,424,166.5,133,9.199999809,9.199999809,9.199999809,9.199999809,175,,275975,1.028302431,6273.025391,279.7401428,986.5405273,43.99392319,21.29166794,,51.4294014,,0.044594135,0.25,9810000,2.6328E+12,4.9483E+12,59844628480,1.12477E+11,6100.370117,11465.54199
